,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
305,1695,0.0,0.585526,3.629866,-2317226.595444,51624.946162
306,1694,0.0,0.586116,3.612914,-2317227.181559,51680.609844
307,1693,0.0,0.586683,3.596062,-2317227.768243,51736.014254
308,1692,0.0,0.587229,3.579311,-2317228.355471,51791.160924
309,1691,0.0,0.587752,3.562658,-2317228.943224,51846.051371
310,1690,0.0,0.588255,3.546103,-2317229.531478,51900.687104
311,1689,0.0,0.588736,3.529646,-2317230.120214,51955.069616
312,1688,0.0,0.589197,3.513285,-2317230.709411,52009.200391
313,1687,0.0,0.589638,3.49702,-2317231.299049,52063.080899
314,1686,0.0,0.590059,3.48085,-2317231.889108,52116.712599
315,1685,0.0,0.590461,3.464775,-2317232.479569,52170.09694
316,1684,0.0,0.590844,3.448793,-2317233.070413,52223.235358
317,1683,0.0,0.591208,3.432904,-2317233.661621,52276.129278
318,1682,0.0,0.591555,3.417107,-2317234.253176,52328.780114
319,1681,0.0,0.591883,3.401401,-2317234.845059,52381.18927
320,1680,0.0,0.592194,3.385787,-2317235.437253,52433.358136
321,1679,0.0,0.592488,3.370262,-2317236.029742,52485.288094
322,1678,0.0,0.592765,3.354826,-2317236.622507,52536.980516
323,1677,0.0,0.593026,3.339479,-2317237.215533,52588.43676
324,1676,0.0,0.593271,3.324219,-2317237.808804,52639.658176
325,1675,0.0,0.5935,3.309047,-2317238.402304,52690.646104
326,1674,0.0,0.593713,3.293962,-2317238.996017,52741.401873
327,1673,0.0,0.593911,3.278962,-2317239.589928,52791.9268
328,1672,0.0,0.594095,3.264048,-2317240.184023,52842.222196
329,1671,0.0,0.594263,3.249218,-2317240.778287,52892.289358
330,1670,0.0,0.594418,3.234472,-2317241.372704,52942.129575
331,1669,0.0,0.594558,3.21981,-2317241.967263,52991.744127
332,1668,0.0,0.594685,3.20523,-2317242.561948,53041.134283
333,1667,0.0,0.594798,3.190732,-2317243.156746,53090.301303
334,1666,0.0,0.594898,3.176315,-2317243.751644,53139.246438
335,1665,0.0,0.594985,3.161979,-2317244.34663,53187.970929
336,1664,0.0,0.59506,3.147724,-2317244.94169,53236.476007
337,1663,0.0,0.595122,3.133548,-2317245.536812,53284.762896
338,1662,0.0,0.595172,3.119451,-2317246.131983,53332.832809
339,1661,0.0,0.59521,3.105433,-2317246.727193,53380.686951
340,1660,0.0,0.595236,3.091492,-2317247.322429,53428.326518
341,1659,0.0,0.595251,3.077629,-2317247.91768,53475.752696
342,1658,0.0,0.595254,3.063842,-2317248.512934,53522.966665
343,1657,0.0,0.595247,3.050132,-2317249.10818,53569.969593
344,1656,0.0,0.595228,3.036497,-2317249.703409,53616.762642
345,1655,0.0,0.5952,3.022937,-2317250.298608,53663.346964
346,1654,0.0,0.59516,3.009452,-2317250.893769,53709.723704
347,1653,0.0,0.595111,2.996041,-2317251.48888,53755.893997
348,1652,0.0,0.595052,2.982703,-2317252.083931,53801.858972
349,1651,0.0,0.594983,2.969437,-2317252.678914,53847.619747
350,1650,0.0,0.594904,2.956245,-2317253.273818,53893.177435
351,1649,0.0,0.594816,2.943124,-2317253.868634,53938.533139
352,1648,0.0,0.594719,2.930074,-2317254.463353,53983.687954
353,1647,0.0,0.594613,2.917095,-2317255.057966,54028.642968
354,1646,0.0,0.594498,2.904187,-2317255.652464,54073.399262
355,1645,0.0,0.594374,2.891348,-2317256.246838,54117.957908
