,Homo-naive,Homo-activated
Fen1,0.8192318655201255,1.36323082863441
Tmem258,7.7777250720140865,10.076075174297316
Myrf,1e-323,1e-323
Dagla,1e-323,1e-323
Syt7,1e-323,1e-323
Ppp1r32,1e-323,1e-323
Sdhaf2,1.0240398319001567,1.8086400025291762
Cpsf7,1.7992569875531268,0.9827738364878561
Tmem216,0.20480796638003138,0.555886388845389
Tmem138,0.40961593276006275,0.5528744493091841
Cyb561a3,0.20480796638003138,0.17889811145200446
Tkfc,0.20480796638003138,0.3577962229040089
Ddb1,3.276927462080502,3.861388234888753
Vwce,1e-323,1e-323
4930524O05Rik,1e-323,1e-323
2210404E10Rik,1e-323,1e-323
Vps37c,0.20480796638003138,0.2683471671780067
Cd5,10.26429466700625,9.688414911890188
A430093F15Rik,1.0240398319001567,3.8197299958180873
Cd6,6.873720806672394,10.398082320141528
Slc15a3,1e-323,0.08944905572600223
Gm10802,1e-323,1e-323
Tmem132a,1e-323,1e-323
Tmem109,1.0240398319001567,1.9443328103177315
Prpf19,3.1789054923723072,5.217816917908544
Ptgdr2,1e-323,1e-323
Ccdc86,1.9777659186877001,4.936486215225103
Ms4a15,1e-323,1e-323
Gm28347,1e-323,1e-323
AW112010,26.951854671359573,18.310796423080497
Ms4a8a,1e-323,1e-323
1700017D01Rik,1e-323,1e-323
Ms4a1,1e-323,1e-323
Ms4a7,1e-323,0.044724527863001115
Gm28935,0.795960449896586,0.09738716519774064
Ms4a4a,1e-323,1e-323
Ms4a4c,0.795960449896586,0.19057064824397055
Ms4a4b,106.75542248707912,1.6633851298247155
Ms4a6c,2.3348648397253777,0.14553786029437668
BE692007,5.348785770624901,1.0790887911598757
Gm8369,37.20938395960377,3.23038085784439
Gm19261,1.2288477982801884,0.13417358358900333
Ms4a6b,65.62338863679761,6.731945240547927
Ms4a4d,1e-323,0.044724527863001115
Ms4a6d,0.8192318655201255,0.044724527863001115
Ms4a2,1e-323,1e-323
Oosp2,1e-323,1e-323
Oosp1,1e-323,0.044724527863001115
Cblif,1e-323,1e-323
Mrpl16,0.40961593276006275,1.9974012283042337
Stx3,1e-323,0.044724527863001115
Olfr1420,1e-323,1e-323
Patl1,0.8192318655201255,0.8335225872053726
Osbp,0.8192318655201255,0.6180866056026988
Olfr1423,1e-323,0.044724527863001115
Olfr1424,1e-323,1e-323
Olfr1425,1e-323,1e-323
Olfr1440,1e-323,1e-323
Olfr1441,1e-323,1e-323
Pfpl,1e-323,1e-323
Mpeg1,1e-323,1e-323
Dtx4,0.20480796638003138,1e-323
A330040F15Rik,1e-323,1e-323
Gm47242,1e-323,1e-323
Fam111a,0.555975316562474,0.1431346964160124
Glyat,1e-323,1e-323
Cntf,1e-323,0.08944905572600223
Zfp91,9.80472692659515,6.539368236130703
Lpxn,1.941078145193307,1.1963148571727424
Gm5244,1e-323,1e-323
Olfr1444,1e-323,1e-323
Olfr1446,1e-323,1e-323
Olfr1489,1e-323,1e-323
Tle4,6.962501346152374,1.030691957674013
Psat1,1.2288477982801884,11.262109198377058
Cep78,0.40961593276006275,0.33554503494506677
C130060C02Rik,1e-323,1e-323
Gnaq,1.2288477982801884,0.33554503494506677
Gm50362,1e-323,1e-323
Gna14,1e-323,1e-323
Vps13a,4.096159327600628,1.351580673076419
Prune2,1e-323,1e-323
Gcnt1,1e-323,1e-323
Rfk,1.4336557646602197,1.4785018093790714
Pcsk5,1e-323,1e-323
Ostf1,8.60558279299726,2.928775727591306
Nmrk1,1e-323,0.17889811145200446
Carnmt1,3.4817354284605337,4.055222706371981
D030056L22Rik,1.2288477982801884,2.931310100634346
Trpm6,1e-323,1e-323
Rorb,1e-323,1e-323
Anxa1,1e-323,1e-323
Tmc1,1e-323,1e-323
4930554I06Rik,1e-323,1e-323
Zfand5,3.388392674580119,5.173962384112639
Gm50255,1e-323,0.044724527863001115
Gda,1e-323,1e-323
1110059E24Rik,1.4336557646602197,1.0809589847177787
Abhd17b,1.278985012575322,1.6541759955400295
Cemip2,1e-323,1e-323
Trpm3,1e-323,1e-323
C330002G04Rik,1e-323,1e-323
Gm50136,1e-323,1e-323
2410080I02Rik,1e-323,0.044724527863001115
Klf9,1.2517421168708742,0.40979801311241054
Smc5,1.638463731040251,1.0338984540103588
Mamdc2,1e-323,1e-323
1700028P14Rik,1e-323,1e-323
Ptar1,0.6144238991400942,0.7742541775835554
Apba1,1e-323,1e-323
Tjp2,1e-323,0.08944905572600223
Fxn,1.0240398319001567,1.1827126349658352
Pip5k1b,1e-323,0.044724527863001115
Fam122a,1.638463731040251,1.197562129062022
Gm50341,1e-323,1e-323
Tmem252,1e-323,1e-323
Gm10053,1e-323,0.40252075076701
Cbwd1,1.2288477982801884,1.0316920229098714
Dock8,4.563324053299702,2.079113675941827
Smarca2,4.5819181873458685,0.4397600533827992
Gm20616,1e-323,1e-323
Vldlr,1e-323,0.08944905572600223
Kcnv2,1e-323,1e-323
Gm35554,1e-323,1e-323
Pum3,2.252887630180346,7.120850836124866
Rfx3,0.40961593276006275,0.08944905572600223
Gm20407,1e-323,1e-323
Glis3,0.40961593276006275,1e-323
Slc1a1,1e-323,1e-323
4430402I18Rik,1e-323,1e-323
Plpp6,0.40961593276006275,0.33554503494506677
Cdc37l1,2.457695596560377,1.292195034665372
Ak3,0.6144238991400942,0.6261433900820157
1700018L02Rik,1e-323,1e-323
Gm9895,1e-323,1e-323
Rcl1,1.472813124585776,3.8973959866059555
Jak2,2.6423908658951825,4.097930625119288
Insl6,0.20480796638003138,0.14553786029437668
Rln1,1e-323,1e-323
Plgrkt,5.481839466550457,1.2610929167176188
Cd274,0.795960449896586,2.4588706516599226
Gm36043,1e-323,0.08944905572600223
Pdcd1lg2,0.40961593276006275,3.195434653173177
A930007I19Rik,1e-323,1e-323
Ric1,0.20480796638003138,0.2236226393150056
Ermp1,0.6144238991400942,0.3577962229040089
Mlana,1e-323,1e-323
9930021J03Rik,2.20182651808656,1.8658706563073428
Gm50373,1e-323,1e-323
Ranbp6,1.4336557646602197,0.4293913604186644
Il33,1e-323,1e-323
Uhrf2,2.457695596560377,1.137455261759175
Gldc,1e-323,1e-323
Prkg1,1e-323,1e-323
Cstf2t,1.0240398319001567,0.9362709655230627
A1cf,1e-323,1e-323
9130016M20Rik,1e-323,1e-323
Asah2,1e-323,1e-323
Sgms1,1.4336557646602197,0.5074688361977441
Gm50210,1e-323,1e-323
