,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
292,1708,0.0,0.054656,0.200282,-10474911.231291,47712.465851
293,1707,0.0,0.053553,0.196601,-10474911.177738,47716.220506
294,1706,0.0,0.052474,0.192988,-10474911.125264,47719.906169
295,1705,0.0,0.051419,0.189442,-10474911.073845,47723.524111
296,1704,0.0,0.050386,0.185961,-10474911.023459,47727.075579
297,1703,0.0,0.049376,0.182544,-10474910.974083,47730.561796
298,1702,0.0,0.048387,0.17919,-10474910.925697,47733.983965
299,1701,0.0,0.047419,0.175897,-10474910.878277,47737.343265
300,1700,0.0,0.046473,0.172666,-10474910.831805,47740.640852
301,1699,0.0,0.045546,0.169493,-10474910.786259,47743.877863
302,1698,0.0,0.044639,0.16638,-10474910.74162,47747.055413
303,1697,0.0,0.043751,0.163323,-10474910.697868,47750.174596
304,1696,0.0,0.042883,0.160323,-10474910.654986,47753.236487
305,1695,0.0,0.042032,0.157378,-10474910.612954,47756.24214
306,1694,0.0,0.0412,0.154487,-10474910.571754,47759.192589
307,1693,0.0,0.040385,0.15165,-10474910.53137,47762.088851
308,1692,0.0,0.039587,0.148864,-10474910.491783,47764.931922
309,1691,0.0,0.038806,0.14613,-10474910.452977,47767.722781
310,1690,0.0,0.038041,0.143447,-10474910.414936,47770.462389
311,1689,0.0,0.037292,0.140812,-10474910.377644,47773.151689
312,1688,0.0,0.036559,0.138226,-10474910.341085,47775.791605
313,1687,0.0,0.035841,0.135688,-10474910.305244,47778.383046
314,1686,0.0,0.035138,0.133196,-10474910.270106,47780.926903
315,1685,0.0,0.03445,0.13075,-10474910.235656,47783.424052
316,1684,0.0,0.033776,0.12835,-10474910.201881,47785.875352
317,1683,0.0,0.033115,0.125993,-10474910.168765,47788.281646
318,1682,0.0,0.032469,0.12368,-10474910.136297,47790.643761
319,1681,0.0,0.031835,0.121409,-10474910.104462,47792.96251
320,1680,0.0,0.031215,0.11918,-10474910.073247,47795.238689
